News Site,Article Title,Article Text
foxnews,Industry icons walk the red carpet at The Game Awards 2016,
foxnews,BIAS ALERT: Time 'Honors' Trump as Person of the Year But Also Brands Him a 'Huckster' While Calling Clinton 'An American Moses',"Published December 07, 2016 | FoxNews.com
President-elect Donald Trump was named Time magazine's Person of the Year on Wednesday â€“ and the honor basically ended there.
While describing Trump as the real change-maker of 2016, the magazine also ragged on the Republican president-elect as a â€œhucksterâ€ù and â€œdemagogueâ€ù while reserving its most glowing praise for runner-up Hillary Clinton -- whom the edition breathlessly described as â€œan American Moses.â€ù
In describing Trump, Time's article almost exclusively used backhanded compliments. For instance, while the piece said he â€œdid what no American politician had attempted in a generation,â€ù it added that he â€œmagnified the divisions of the present, inspiring new levels of anger and fear within his country.â€ù
â€œNow itâ€™s difficult to count all the ways Trump remade the game: the huckster came off more real than the scripted political pros. The cable-news addict made pollsters look like chumps. The fabulist out-shouted journalists fighting to separate fact from falsehood. The demagogue won more Latino and black votes than the 2012 Republican nominee,â€ù Time's Michael Scherer said in one particularly bruising paragraph.
Among the descriptions of what it called â€œTrumpâ€™s America,â€ù Time described a land â€œwhere a hijab-wearing college student in New York reports being attacked and jeered at in the next Presidentâ€™s name, where American-born children ask their citizen parents if Trump will deport them, where white supremacists throw out Nazi salutes in Washington meeting halls for their President-elect.â€ù [It is worth noting that President Obama is still in charge until Januar"
foxnews,'Game of Thrones' star wants everyone to stop going to dolphin shows,"""Game of Thrones"" star Maisie Williams wants everyone to stop buying tickets to marine shows. She says it's the best way to stop the capture and killings of dolphins in Japan.
Williams spoke Friday in the small Japanese town of Taiji, made famous in ""The Cove,"" a 2009 Oscar-winning film that documented the dolphin hunt and starred Ric O'Barry, the dolphin trainer for the ""Flipper"" TV series.
Williams is the latest celebrity trying to save dolphins. Others include Brian May of Queen, Sting and Daryl Hannah.
She hopes her influence on social media, with 4 million Instagram followers, will help educate people about Taiji, including Japanese.
Williams, global ambassador for O'Barry's Dolphin Project campaign, says only a handful of Taiji fishermen are benefiting from the practice."
foxnews,Japan offering free ramen to get older drivers off the road,"Hereâ€™s an appetizing offer.
Police in Japan are trying to reduce the amount of older citizens driving on the road by offering a seniors a big discount on one of the country most popular comfort foods-- ramen.
Last week, Aichi prefecture in central Japan, rolled out the program in which elderly drivers will be provided discounted meals of ramen noodles at 176 outlets of the Sugakiya restaurant chain, The Guardian reports.
RAMEN MORE PRECIOUS THAN CIGARETTES IN US PRISONS
The hot deal will only be valid to individuals who surrender drivers licenses.
The initiative comes after Japanese prime minister Shinzo Abe recently pushed for action to address the rise in driving accidents (some fatal) caused by drivers 74-years of age and older. The overall number of traffic accidents involving drivers aged 75 and up has risen from 7.4 percent to 12.8 percent in the last decade according to the national police agency. At the same time, there's been a nationwide decline in vehicular accidents overall across the country.
Older drivers in Aichi are entitled to ramen discounts after presenting his or her driving record certificate, which can be obtained from police in exchange for handing in a license, local media reports say. With the 15 percent discount, a meal at Sugakiya with ramen, rice and salad costs just 500 yen-- about $4.40.
Japan isn't the only country that's considered using food as an incentive to make things safer. In June 2015, a jail in Indiana explored a program that would allow inmates with good behavior records to order pizza and takeout from local restaurants. And in August, a restaurant in Indianapolis contemplated trading free pizzas for guns handed in off the street.
ANTHONY BOURDAIN'S FAVORITE NEW YORK CITY HOTSPOTS FOR JAPANESE FOOD
In Japan, officials have also used non-edible incentives to improve street safety. Many drivers can take advantage of similar incentives, including discounts at public baths, barbers and chemists and reduced taxi fares.
Prior to the ramen concession being introduced, 12,000 drivers in the prefecture had taken advantage of the offers this year."
foxnews,NASCAR Puts on the Brakes Until 2017,"The cars are in the garage, the drivers are unbuckled and when NASCAR returns, things wonâ€™t look the same.
FOXâ€™s Chris Hoenig has â€œFOX in the Fast Laneâ€ù:
Drivers get back at it in February with the Unlimited and Can-Am duels, leading up to the Daytona 500 on February 26, live on FOX.
When they get back in their cars, they wonâ€™t be vying for the Sprint Cup. NASCAR and Sprint ending their partnership after 13 years. A new title sponsor has yet to be announced.
Tony Stewart wonâ€™t be behind the wheel, retiring after last weekâ€™s race at Miami. He says he doesnâ€™t plan to come back the way Jeff Gordon did. Gordon telling FOX News Radio retirement was and remains his plan:
(Gordon) â€œI didnâ€™t anticipate this. I canâ€™t say never, but I certainly donâ€™t plan on it.â€ù
Dale Earnhardt Jr. does expect to be back:
(Earnhardt Jr.) â€œAll signs point to us being in the car in Daytona. I donâ€™t know if anybody had any doubt out there. But if you did, looks like everythingâ€™s going in the great direction for that to happen.â€ù
Greg Biffle also plans to drive, it just wonâ€™t be for Rousch Fenway. The driver of the No. 16 Ford leaving the company after 19 years. His immediate future up in the air.
FOX in the Fast Lane, Iâ€™m Chris Hoenig, FOX News.
Follow Chris Hoenig on Twitter: @Chris_Hoenig"
foxnews,Hello! The 2017 Grammy Award Nominations Are Out!,"The 2017 Grammy Award nominations have been announced.
FOXâ€™s Jacquelyn Karl has more:
BeyoncÃ© leading the pack with nine Grammy nominations, followed close behind by Drake, Rihanna and Kanye West, each having eight.
For album â€œAlbum of the Yearâ€ù, BeyoncÃ©â€™s â€œLemonadeâ€ù and Adeleâ€™s â€œ25â€ù, along with Drakeâ€™s â€œViewsâ€ù, Justin Bieberâ€™s â€œPurposeâ€ù and Sturgill Simpsonâ€™s â€œA Sailorâ€™s Guide to Earth.â€ù
For â€œSong of the Yearâ€ù, BeyoncÃ©â€™s â€œFormationâ€ù and Adeleâ€™s â€œHelloâ€ù, theyâ€™ll battle Lukas Grahamâ€™s â€œ7 Yearsâ€ù, Mike Posnerâ€™s â€œI Took a Pill In Ibizaâ€ù and Justin Bieberâ€™s â€œLove Yourself.â€ù
The Grammys airing live on Feb. 12 and hosted by James Corden.
Jacquelyn Karl, FOX News.
Follow Jacquelyn Karl on Twitter: @Jacquelyn_Karl"
foxnews,FOX NEWS CHANNEL NAMES CONTRIBUTOR MEGHAN MCCAIN AS PERMANENT CO-HOST OF OUTNUMBERED â€“ Fox News Channel Press,"FOX News Channel (FNC) has named contributor Meghan McCain as a permanent co-host of the top-rated ensemble show Outnumbered (weekdays at 12-1PM/ET). In this role, McCain will serve as one four female panelists, which include Harris Faulkner and Sandra Smith, along with one rotating â€œlucky guy.â€ù She began her new position today.
In commenting on the announcement, McCain said, â€œI feel privileged to have the opportunity to work alongside the strong women on Outnumbered and am excited to join the team as a full time co-host. Iâ€™m grateful for the opportunity to share my unique perspective with viewers on a now daily basis.â€ù
According to Nielsen Media Research, Outnumbered has been the number one cable news program in its timeslot and has also posted triple-digit increases in both total viewers and the 25-54 demographic since launch. The show is ranked in the top 15 programs in total viewers for the month of October, even outpacing some primetime cable news competition.
McCain joined FNC in 2015 as a contributor and has provided thought-provoking political analysis across the networkâ€™s daytime and primetime programming. Prior to joining FNC, McCain served as the host of Pivot Networkâ€™s TakePart Live and has contributed to multiple publications, including The Daily Beast, Newsweek and Time.
She is also the author of the New York Times bestselling childrenâ€™s book entitled â€œMy Dad, John McCainâ€ù and a 2010 memoir, â€œDirty Sexy Politics.â€ù Additionally, McCain starred in the 2013 Pivot network TV show, Raising McCain. Her first blog, McCain Blogette, documented her life on the campaign trail with her father along with perspective on pop culture, cultural trends and politics.
FOX News Channel (FNC) is a 24-hour all-encompassing news service dedicated to delivering breaking news as well as political and business news. A top five cable network, FNC has been the most-watched news channel in the country for more than 14 years and according to a Suffolk University/USA Today poll, is the most trusted television news source in the country.
Owned by 21st Century Fox, FNC is available in more than 90 million homes and dominates the cable news landscape, routinely notching the top ten programs in the genre.
###
FOX News Media Contact:
Jessica Jensen/212.301.3531"
foxnews,FoxNews.com Opinion Cartoons,"Â©2016 FOX News Network, LLC. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. All market data delayed 20 minutes. New Privacy - New Terms of Use (What's New) - FAQ"
foxnews,Trump to Nominate EPA Critic Scott Pruitt to Lead Agency,"FoxNews.com
President-elect Donald Trump is planning to nominate Oklahoma Attorney General Scott Pruitt â€“ an outspoken critic of the EPA â€“ to lead the environmental agency, a senior transition source confirmed to Fox News.
Word of Trumpâ€™s choice for the Environmental Protection Agency came as the president-elect also named Iowa Gov. Terry Branstad as his pick for ambassador to China and asked retired Gen. John Kelly to lead the Department of Homeland Security. Trump announced late Wednesday as well that heâ€™ll nominate Linda McMahon, former chief executive of World Wrestling Entertainment, as administrator of the Small Business Administration.
Pruitt may be the most controversial pick of the four.
Pruitt, 48, has been a reliable booster of the fossil fuel industry and a critic of what he derides as the EPA's ""activist agenda."""
foxnews,Will You Be a Secret Santa for a Veteran?,"By Todd Starnes
Published November 30, 2016 | FoxNews.com
United States Marine Joseph Dâ€™Augustine was the kind of guy who always looked out for the underdog. When somebody got bullied, he was there to stand up to the bully. When someone needed a helping hand, he was there to lend a hand.
Staff Sgt. Dâ€™Augustine was killed in 2012 during his second tour of duty in Afghanistan. He was a brave son of New Jersey who paid the ultimate sacrifice so that others might live free.
â€œMy brother had always been for the underdog,â€ù Nicole Dâ€™Augustine DeLaura told me. â€œWhen he passed away, I knew I wanted to help his Brothers â€“ I wanted to help veterans.â€ù
So last year, the Staff Sergeant Joseph Dâ€™Augustine Memorial Fund launched a new project to honor the Armed Forces â€“ â€œSecret Santa for Vets.â€ù
â€œMy brother would have really loved this,â€ù Nicole said.
Secret Santa for Vets is a great way for families across the fruited plain to show their love and appreciation for the men and women who defend our freedom.
â€œNone of these military veterans know they are receiving gifts,â€ù she said. â€œThey have no idea until the doorbell rings.â€ù
Hereâ€™s how it works:
If thereâ€™s a veteran in your church or neighborhood â€“ you can secretly nominate that individual for the program by clicking here. Donors then receive that information and go shopping for the veteran.
â€œWe are trying to re-create the concept of the care package,â€ù Nicole said. â€œA lot of veterans when they come back home they feel forgotten â€“ so we wanted to do something about that.â€ù
The project also involves local school children who put together handmade Christmas cards for their military heroes.
Last year, they were able to send out 90 packages to veterans. This year, theyâ€™ve already sent out almost 200 packages.
â€œPeople like it because itâ€™s personal. Itâ€™s not just writing a check. You know the name of the person you are shopping for. You know what they like, what kind of restaurants they enjoy going to.â€ù
One of last yearâ€™s recipients was a veteran with two children. His wife had recently passed away. The veteranâ€™s Secret Santa gave him tickets to a San Diego Chargers game and gave the children tickets to see â€œDisney on Ice.â€ù
Another military family was struggling financially after the premature birth of their second child. Both mom and dad were veterans.
â€œWe literally were Santa for their family,â€ù Nicole told me. â€œWe sent them clothes for the baby, toys, a gift card to Walmart, diapers.â€ù
Folks, this is an absolutely amazing Christmas project and itâ€™s one that we need to support. We need Secret Santaâ€™s willing to lend a helping hand and spread Christmas cheer across the fruited plain. Click here to get more information.
Todd Starnes is host of Fox News & Commentary, heard on hundreds of radio stations. His latest book is ""God Less America: Real Stories From the Front Lines of the Attack on Traditional Values."" Follow Todd on Twitter @ToddStarnes and find him on Facebook."
foxnews,GNC enters non-prosecution agreement over sales of illegal supplements,"GNC Holdings Inc, the largest global dietary supplement retailer, has agreed to pay $2.25 million and reform its practices in a pact to avoid federal prosecution over its alleged sale of illegal dietary supplements, the U.S. Department of Justice said on Wednesday.
The non-prosecution agreement stems from allegations that GNC in 2013 sold in its stores nationwide a misbranded supplement called OxyElite Pro Advanced Formula, which is made by Dallas-based USP Labs.
USP Labs was indicted in November 2015 in a U.S. federal court in Dallas and is awaiting trial, the DOJ said. It stands accused of engaging in a conspiracy to import ingredients from China using false certificates of analysis and false labeling.
Later, the company allegedly told retailers the supplements contained natural plant extracts, when they actually contained synthetic stimulates made in China, the DOJ said.
As part of the deal with the DOJ, GNC has vowed to suspend the sale of products if the Food and Drug Administration issues a public warning about them.
It is also required to create lists of acceptable and unacceptable ingredients that can be used in supplements and conduct more due diligence on its vendors. Finally, it is required to establish an industry-wide quality seal program.
""Unlawful dietary supplements are an important enforcement priority for the department,"" said Principal Deputy Assistant Attorney General Benjamin C. Mizer in a statement.
""Today's resolution is a significant step forward in reforming an industry rife with alarming practices,"" he added."
foxnews,"Ireland Baldwin in 'Treats!' Mag -- First Wet, Nude Photo Shoot ... Just Like Her Mama (VIDEO + PHOTOS)","Ireland Baldwin in 'Treats!' Mag First Wet, Nude Photo Shoot ... Just Like Her Mama
EXCLUSIVE
Ireland Baldwin's doing wonders for the sequined collars and cuffs industry ... modeling a set of 'em in the nude.
The 20-year-old model showed off just about everything for a ""treats!"" shoot that features her in see-through tops, mesh tops and NO tops at all -- and we scored this behind-the-scenes video.
Her mom, Kim Basinger, did her first fully nude shoot for Playboy when she was 29 years old.
Ireland's not just curvy ... she's ahead of the curve ... and you can get it all here."
foxnews,Twitter CEO Jack Dorsey finds Trump's incessant tweeting 'fascinating',"Is Twitter CEO Jack Dorsey a fan of President-elect Donald Trump's tweets? The question was relayed to the platform's chief at Recode's Code Commerce event on Tuesday. Dorsey's reply was characteristically diplomatic, but nonetheless revealing.
It's ""complicated"" responded Dorsey. Trump certainly adores the platform, which he uses at all hours of the day to express his thoughts on everything from foreign policy to pop culture. At the very least, it seems Dorsey is aware of all the positive publicity Trump's tweets are generating for the platform. After all, if Trump tweets it, you can bet it will be news.
""I feel very proud of the role of the service and what it stands for and everything that we've done, and that continues to accelerate every single day,"" remarked the Twitter co-founder and current head honcho. ""Especially as it's had such a spotlight on it through his usage and the election.""
The ""complicated part,"" according to Dorsey, ""is just what does this mean to have a direct line to how he's thinking in real time and to see that."" He continued: ""Having the president-elect on our service, using it as a direct line of communication, allows everyone to see what's on his mind in the momentI think it's fascinating, I haven't seen that before. So we're definitely entering a new world where everything is on the surface and we can all see it in real time and we can all have conversations about it.""
Just this week, Trump explained his Twitter activity as a reaction to the mainstream media's inaccurate depiction of him. He wrote: ""If the press would cover me accurately [and] honorably, I would have far less reason to ""tweet."" Sadly, I don't know if that will ever happen!""
With Twitter taking a bold stance against hate speech of late -- a move that has seen it ban dozens of accounts -- the platform recently made it clear that absolutely no one (not even Trump) could bypass its policies. In a statement, the company reportedly said ""it would consider banning key government officials, even the president, if its rules against hate speech or other language were violated."""
foxnews,Ancient Mexican temple uncovered beneath supermarket,
foxnews,"NTSB: Driver in fatal crash was speeding, had prior wrecks","The driver of a Baltimore school bus that careened into a transit bus, killing him and five others, was speeding, had a history of previous crashes and had a seizure the week before, national investigators said Wednesday.
Glenn Chappell was driving about 57 mph in a 30-mph zone â€” nearly twice the speed limit â€” when he struck a Ford Mustang from behind before colliding with an oncoming Maryland Transit Administration bus last month, according to the National Transportation Safety Board's initial report.
Chappell was driving the school bus for AAAfordable LLC of Baltimore, which held a contract with Baltimore City Public Schools until Nov. 21 of this year. No children were on board at the time of the crash.
The transit bus driver and four passengers were also killed. Eleven people were injured.
Reports referencing Chappell's previous crashes and other incidents said Chappell had ""seizure-like episodes."" Chappell had an actual seizure just a week before the Nov. 1 crash.
In addition, while Chappell had a medical certificate allowing him to drive the school bus, he had not filed it with the Maryland Vehicle Administration, which made it illegal for him to be driving the bus, the report said.
Chappell's wife told investigators after an earlier crash that he had been taking medication for seizures when he got into an accident two years ago.
Chappell had been driving buses since 2008. He began working for AAAfordable in 2014, but took a break between April and August of this year, during which time he drove for other bus companies.
Shawn Braxton, who was behind the wheel of the Ford Mustang, was shocked to learn that Chappell had both a history of car crashes and a known medical condition.
""That's just crazy,"" Braxton said in an interview with The Associated Press on Wednesday.
""I'm upset about it, and saddened because he felt the need to continue to drive the bus even though he had a medical condition, and I'm saddened that the bus company kept him hired because he had a medical condition and they should have been monitoring him,"" he said.
The NTSB is also investigating a school bus crash in Chattanooga, Tennessee in which six children died and 12 others were admitted to the hospital. The bus was carrying 37 children at the time of the wreck. The driver, Jonathan Walker, has been charged with multiple counts of vehicular homicide. Records showed that students had complained about Walker's driving, and that he'd been in an accident just two months before the wreck.
Baltimore Mayor Catherine Pugh, who was sworn in Tuesday morning, said in a statement that she is ""very concerned about the way bus drivers are cleared for duty.""
""We entrust the lives of our children to these public servants, so we need to make sure they are up to the task,"" Pugh said.
Dr. Stephen Richards, director of the Southeastern Transportation Center at the University of Tennessee, who reviewed the preliminary report, said the lack of communication between the MVA and the school system about Chappell's outdated medical certificate could be an area that needs attention.
""The fact that no certificate had been turned in, and the public agency that kept track of that certificate ... had recognized that he should not be driving, that's where the breakdown occurred,"" Richards said. ""If there's lag time before the entire system caught it with that, they may need to look at that and enact some safeguards.""
George Bogris, an attorney representing AAAfordable, did not immediately return a call and email seeking comment.
Del. Kumar Barve, who chairs the Maryland House Environment and Transportation Committee, said the report reflected ""a failure of the school system,"" and added that he planned to have the legislative committee briefed on the NTSB report.
Baltimore schools spokeswoman Edie House-Foster said in a written statement that the school system is ""continuing to work diligently to review and tighten processes and practices"" related to bus contracts.
""The safety of our students, the adults who staff school buses and other drivers and passengers is our top priority,"" she said. House-Foster declined to comment further.
---
Associated Press Writer Brian Witte in Annapolis, Maryland contributed to this report."
foxnews,Nevada Congresswoman urges Trump to oppose call for online gambling ban,"Nevada Representative Dina Titus is urging the President Elect to oppose a call for an online gambling ban.
The Democratic Congresswoman sent a letter to Vice President-elect Mike Pence, head of Trumpâ€™s transition team, this week. Her letter was in response to a letter signed last month by ten attorneys general who opposed online gaming.
The ten Republican attorneys general sent their letter Nov. 17 to Pence asking him to consider the Restoration of Americaâ€™s Wire Act (RAWA). Nevadaâ€™s Attorney General, Adam Laxalt, was a cosigner of the letter.
The Restoration of Americaâ€™s Wire Act is legislation that would effectively ban all online gambling nationwide with the exception of daily fantasy sports websites and horse race betting.
In her letter, Titus contends that â€œthe letter submitted by the attorneys general contains several inaccuracies and unfair allegations.â€ù Titus touted regulations in place in Nevada, which she says prove online gambling can be effectively regulated. â€œGaming regulation in the state of Nevada is considered the international gold standard,â€ù she added.
CYBERGAMBLING RETURNS â€“ AND THIS TIME ITâ€™S LEGAL
The Restoration of Americaâ€™s Wire Act would rewrite and reinterpret the federal Wire Act of 1961, which is also known as the Interstate Wire Act.
The AG letter cited addiction, divorce and increased suicide as harmful effects of online gambling. The AGs also raised concerns about anonymity, which they said could be used to support terrorist financing and criminal activity.
However, in her letter, Titus warned of the ramifications that could arise from banning online gambling from states that are doing it correctly. She said, â€œI encourage you [Trump] to carefully study this issue before making any decisions that would infringe on stateâ€™s rights or eliminate jobs in the gaming industry.â€ù
State-regulated online gambling is legal in Nevada, Delaware, and New Jersey.
The Restoration of Americaâ€™s Wire Act was introduced in the 2015 session of Congress and is still sitting in the Senate Judiciary Committee, according to Congress.gov. The legislation was written with the backing of Las Vegas hotel and casino billionaire, Sheldon Adelson, an opponent of online gambling."
